Date, Revenue , Transactions 
5/3/2018," 18,190.89 ", 73.00 
5/4/2018," 16,768.82 ", 76.00 
5/5/2018," 11,236.32 ", 51.00 
5/6/2018," 17,396.31 ", 64.00 
5/7/2018," 25,102.69 ", 129.00 
5/8/2018," 19,175.04 ", 88.00 
5/9/2018," 17,799.41 ", 99.00 
5/10/2018," 21,635.06 ", 112.00 
5/11/2018," 20,642.48 ", 75.00 
5/12/2018," 5,730.80 ", 28.00 
5/13/2018," 9,019.48 ", 44.00 
5/14/2018," 20,644.22 ", 101.00 
5/15/2018," 14,172.27 ", 67.00 
5/16/2018," 16,699.42 ", 84.00 
5/17/2018," 13,086.19 ", 157.00 
5/18/2018," 15,301.57 ", 219.00 
5/19/2018," 8,944.27 ", 90.00 
5/20/2018," 9,500.49 ", 73.00 
5/21/2018," 19,306.14 ", 162.00 
5/22/2018," 17,953.74 ", 341.00 
5/23/2018," 13,674.34 ", 218.00 
5/24/2018," 15,405.40 ", 114.00 
5/25/2018," 14,387.41 ", 92.00 
5/26/2018," 5,727.14 ", 43.00 
5/27/2018," 7,818.38 ", 48.00 
5/28/2018," 11,919.20 ", 62.00 
5/29/2018," 14,822.22 ", 121.00 
5/30/2018," 23,847.51 ", 109.00 
5/31/2018," 14,958.43 ", 86.00 
